"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","TOTAL_COMMUTERS_OD","CBD_DEPENDENCY_RATE"
2021,121041414,"Crows Nest - Waverton",4114,10602,0.3880399924542539143557819279381248820977
2016,123021438,"Claymore - Eagle Vale - Raby",773,8956,0.0863108530594015185350602947744528807503
2016,101061543,"Young",4,3887,0.00102907126318497555955749935683046050939
2016,120031390,"Ashfield",4476,12043,0.3716681889894544548700489911151706385452
2016,117011320,"Banksmeadow",3,9,0.3333333333333333333333333333333333333333
2021,101061544,"Young Surrounds",6,2896,0.002071823204419889502762430939226519337017
2021,108021158,"Nambucca Heads",9,1925,0.004675324675324675324675324675324675324675
2021,119021367,"Roselands",1003,5334,0.1880389951256092988376452943382077240345
2021,118021564,"Kensington (NSW)",2217,5653,0.3921811427560587298779409163276136564656
2021,115041625,"Rouse Hill - Beaumont Hills",1200,9129,0.1314492277357870522510680249753532697995
2016,102021044,"Bateau Bay - Killarney Vale",233,8536,0.0272961574507966260543580131208997188379
2016,106021115,"Maitland - East",27,11375,0.002373626373626373626373626373626373626374
2016,119041380,"Monterey - Brighton-le-Sands - Kyeemagh",1596,6103,0.2615107324266754055382598721940029493692
2016,110021190,"Glen Innes",0,3007,0
2016,107011547,"Windang - Primbee",26,1426,0.018232819074333800841514726507713884993
2016,118021348,"Coogee - Clovelly",5722,13529,0.4229433069702121368911227733017961416217
2021,107041144,"Balgownie - Fairy Meadow",435,9191,0.0473289087150473289087150473289087150473
2021,110041201,"Quirindi",4,2852,0.001402524544179523141654978962131837307153
2021,111011214,"Warners Bay - Boolaroo",57,6621,0.008608971454463072043497961033076574535569
2021,116031318,"Prospect Reservoir",0,8,0
2021,123011701,"Mount Annan",703,9515,0.0738833420914345769837099316868102995271
2021,127011594,"Green Valley",391,4481,0.087257308636465074760098192367775050212
2021,125021712,"Carlingford - West",1405,8136,0.1726892822025565388397246804326450344149
2021,128011606,"Woolooware - Burraneer",834,4580,0.182096069868995633187772925764192139738
2011,102011034,"Kincumber - Picketts Valley",0,1968,0
2016,101041027,"Narooma - Bermagui",10,2509,0.003985651654045436428856117975288959744918
2016,124041466,"Richmond - Clarendon",177,5926,0.0298683766452919338508268646641916976038
2016,117031337,"Sydney - Haymarket - The Rocks",9877,14503,0.6810315107219196028407915603668206577949
